ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,743,1739355178930,-0.42921,-0.47587,9.56322,-1.70512,2.54433,-30.45946
Ak,744,1739355178948,-0.08943,0.40708,8.52234,6.8014,1.26644,-33.56072
Ak,745,1739355178965,0.53031,-3.0338,8.5343,10.53588,4.40966,-33.06863
Ak,746,1739355178982,-0.78574,0.78036,12.09961,5.39382,5.75239,-29.5554
Ak,747,1739355178999,-1.01306,-0.63858,9.37897,21.90335,12.40503,-34.81572
Ak,748,1739355179020,-0.3,-1.78953,10.04178,39.32455,12.23719,-41.90321
Ak,749,1739355179032,-0.3,-1.78953,10.04178,37.10447,11.00889,-40.68254
Ak,750,1739355179049,2.54267,-2.83759,9.19711,20.49958,9.95988,-32.99997
Ak,751,1739355179065,-0.53689,-0.15284,10.7668,-11.92439,1.13675,-18.59991
Ak,752,1739355179082,-2.53011,0.09601,10.2332,-14.43057,1.86915,-17.65008
Ak,753,1739355179100,-1.23559,-0.08824,10.70459,-8.51415,2.44133,-21.07177
Ak,754,1739355179110,-1.23559,-0.08824,10.70459,5.36331,-0.56456,-28.12112
Ak,755,1739355179127,-0.16839,-3.25633,9.79293,4.61565,0.14877,-27.76255
Ak,756,1739355179146,0.32453,-2.2657,9.84557,0.58363,0.51497,-25.19915
Ak,757,1739355179164,-0.32871,0.0673,10.92234,-1.94162,1.4381,-22.04067
Ak,758,1739355179181,-0.43878,-0.07866,8.55823,3.34158,9.09016,-22.93328
Ak,759,1739355179199,-0.18754,-1.91396,10.0681,5.65703,8.70107,-21.48374
Ak,760,1739355179215,-0.18754,-1.91396,10.0681,4.90937,4.95896,-18.98137
Ak,761,1739355179230,-0.40768,-1.13868,9.56561,4.10449,4.75297,-18.09639
Ak,762,1739355179249,0.11874,-2.68205,10.49163,-1.14056,4.24182,-16.25395
Ak,763,1739355179265,-1.22602,-0.42802,9.47229,-1.75852,2.95249,-19.16066
Ak,764,1739355179284,0.66909,-1.94746,9.4029,-1.26263,3.43313,-21.09465
Ak,765,1739355179299,-0.75224,-1.22961,9.6685,-1.25881,2.07895,-23.9327
Ak,766,1739355179316,-0.75224,-1.22961,9.6685,-4.21893,0.42342,-22.66626
Ak,767,1739355179332,-1.69502,0.03141,8.48884,-6.2254,1.0986,-21.51807
Ak,768,1739355179352,-1.01306,-2.6007,10.97498,-7.22482,2.1972,-20.78567
Ak,769,1739355179364,0.64516,-1.48086,9.06072,-11.44375,1.99503,-17.12367
Ak,770,1739355179379,1.37976,-1.59332,9.48425,-8.25858,2.29638,-17.76834
Ak,771,1739355179398,-1.28345,1.43839,9.85035,-8.04877,2.64732,-15.95641
Ak,772,1739355179417,-1.14706,-0.86112,8.82623,-4.84834,1.63264,-15.65506
Ak,773,1739355179432,-1.14706,-0.86112,8.82623,2.36123,0.8621,-18.48548
Ak,774,1739355179454,0.23121,1.21585,8.45773,13.08021,1.15963,-22.06356
Ak,775,1739355179467,-1.27866,-3.10558,9.89103,17.6272,1.25118,-22.09026
Ak,776,1739355179482,0.03021,-0.37537,11.25255,14.8807,1.88822,-19.37428
Ak,777,1739355179495,-0.58475,-1.94746,9.34307,21.59818,0.81251,-20.86959
Ak,778,1739355179512,-0.58475,-1.94746,9.34307,20.85052,-0.77818,-19.48871
Ak,779,1739355179530,2.03539,-3.61047,9.18754,17.08171,-0.40816,-15.88775
Ak,780,1739355179549,-0.18754,-1.80389,10.6687,-21.96819,4.16553,5.94694
Ak,781,1739355179566,-0.47468,-2.51456,9.3335,-24.90161,1.21304,4.62709
Ak,782,1739355179582,0.63799,-0.12652,10.47009,-32.69099,3.53231,7.33545
Ak,783,1739355179603,0.22881,1.38096,9.99392,-24.13106,-0.12588,-0.48064
Ak,784,1739355179621,1.24337,1.24935,9.47229,-17.66153,0.65229,-5.31753
Ak,785,1739355179633,1.24337,1.24935,9.47229,-15.76949,0.90787,-6.18726
Ak,786,1739355179649,1.16201,0.21326,9.31915,11.4552,0.56074,-20.85434
Ak,787,1739355179667,-0.9006,-3.61047,9.64218,24.89779,2.55959,-26.22527
Ak,788,1739355179684,-0.91735,-1.83021,10.45574,19.27891,3.38735,-21.72787
Ak,789,1739355179700,-0.18514,-0.98076,10.86252,13.77447,2.55196,-16.10136
Ak,790,1739355179716,-0.18514,-0.98076,10.86252,10.58166,7.6635,-11.52386
Ak,791,1739355179731,1.65972,1.34985,9.19472,9.72338,8.8918,-9.85307
Ak,792,1739355179747,0.55663,-4.0675,10.51317,1.76615,4.37151,-4.39822
Ak,793,1739355179766,2.10479,0.18455,9.30958,-39.7823,3.4789,19.78244
Ak,794,1739355179783,0.50399,-0.97119,8.48166,-36.17371,2.87238,17.24955
Ak,795,1739355179802,-1.61127,1.15125,10.49881,-26.91571,1.87678,10.34134
Ak,796,1739355179817,0.15464,-2.8017,8.60369,28.2737,4.37914,-26.05743
Ak,797,1739355179830,0.15464,-2.8017,8.60369,25.8667,1.92255,-25.35555
Ak,798,1739355179848,0.33171,-4.7351,8.58934,13.98427,-2.7465,-17.95525
Ak,799,1739355179866,0.35803,0.47647,11.75743,-25.35173,-0.9155,6.29025
Ak,800,1739355179879,-0.35743,0.01226,9.89582,-17.61575,-0.06485,2.86094
