ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739358593271,-0.03829,-0.18544,8.65633,-1.17489,3.8451,-9.07108
Abj,2,1739358593284,0.06221,-0.65982,9.78455,-0.62559,2.1972,-8.27765
Abj,3,1739358593295,0.06221,-0.65982,9.78455,-0.13733,4.82164,-9.55935
Abj,4,1739358593322,-0.10319,-1.31396,10.61097,1.26644,-0.1831,-9.43728
Abj,5,1739358593343,0.37358,-0.60239,10.35703,1.20541,2.25823,-9.13212
Abj,6,1739358593352,0.37358,-0.60239,10.35703,0.28991,3.23477,-8.76592
Abj,7,1739358593360,0.14836,-0.67657,9.85394,1.32748,3.8451,-8.94902
Abj,8,1739358593377,0.14836,-0.67657,9.85394,-0.32043,4.88267,-9.01005
Abj,9,1739358593396,0.24915,-0.48006,9.95953,-1.54109,6.46954,-8.76592
Abj,10,1739358593428,0.15314,-0.47527,10.14617,-0.44249,4.08923,-9.07108
Abj,11,1739358593457,0.02154,-1.1653,9.83241,1.99884,1.34273,-9.31522
Abj,12,1739358593469,0.22762,-0.83958,9.99303,-2.33453,7.62917,-9.43728
Abj,13,1739358593479,0.22762,-0.83958,9.99303,1.57161,1.22067,-9.37625
Abj,14,1739358593499,0.13161,-0.77976,9.71516,0.65611,5.43197,-10.10865
Abj,15,1739358593526,0.38554,-0.59761,10.09113,-0.74766,3.23477,-10.29175
Abj,16,1739358593541,0.38554,-0.59761,10.09113,-2.02936,-1.0986,-9.98658
Abj,17,1739358593557,0.14596,-0.65982,11.36561,-1.84626,8.2395,-10.41382
Abj,18,1739358593574,0.31137,-1.88166,9.97149,-0.07629,1.0986,-9.80348
Abj,19,1739358593586,0.09571,-1.28734,9.94517,4.13501,3.8451,-10.78002
Abj,20,1739358593594,0.09571,-1.28734,9.94517,2.67021,4.2113,-10.16968
Abj,21,1739358593612,0.20847,-1.27298,10.02653,6.02704,1.6479,-9.86452
Abj,22,1739358593628,0.43101,-0.31017,9.85394,2.05988,5.06577,-10.47485
Abj,23,1739358593647,0.0,0.13071,9.92124,0.65611,-0.06103,-9.86452
Abj,24,1739358593671,0.2348,-0.10409,8.94617,-2.82279,2.0141,-9.86452
Abj,25,1739358593677,0.2348,-0.10409,8.94617,-4.22656,4.33337,-9.19315
Abj,26,1739358593694,-0.04786,-0.22134,9.58565,-3.55519,7.324,-10.10865
Abj,27,1739358593713,0.06221,-1.36182,9.48993,-1.05283,2.44133,-10.10865
Abj,28,1739358593728,-0.00479,-0.73639,9.89941,-2.39556,6.46954,-10.47485
Abj,29,1739358593747,0.134,-0.98076,9.49951,-0.86973,1.15963,-10.59692
Abj,30,1739358593763,-0.01196,-1.41206,9.33649,1.20541,2.13617,-10.65795
Abj,31,1739358593796,0.34965,-1.10548,9.42772,3.03641,0.79343,-12.06172
