ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1,1739358546430,-0.50295,0.13695,9.252,3.05673,-3.64759,9.66651
HS,2,1739358546446,0.08805,1.01505,10.75005,-0.78782,1.67017,9.95013
HS,3,1739358546461,-0.519,-2.403,10.35105,-1.77259,2.85978,9.59561
HS,4,1739358546483,-0.417,-0.054,10.056,1.44958,-5.81409,9.17807
HS,5,1739358546498,-0.74205,-1.48605,9.94305,1.79622,-2.66282,9.10716
HS,6,1739358546514,-0.74205,-1.48605,9.94305,2.56828,-10.08406,7.42911
HS,7,1739358546526,-2.36805,-0.09195,9.678,5.30201,-14.28312,7.77575
HS,8,1739358546545,-1.98195,-0.88695,12.61995,2.36345,-3.92333,7.28731
HS,9,1739358546560,-0.34005,-0.846,8.87295,2.07984,-11.06883,6.38132
HS,10,1739358546574,0.61395,-0.432,11.61195,1.59139,-9.24897,6.58615
HS,11,1739358546590,0.61395,-0.432,11.61195,-1.84349,-2.73372,5.68016
HS,12,1739358546603,-0.141,-0.777,8.991,-3.93909,-9.59561,4.979
HS,13,1739358546616,0.56205,-0.933,11.54505,-1.97742,0.41754,5.32564
HS,14,1739358546634,1.01205,-1.27305,10.758,2.63919,-4.69539,5.60926
HS,15,1739358546647,1.01205,-1.27305,10.758,-2.26103,3.91545,5.26262
HS,16,1739358546661,0.018,1.035,8.97105,3.05673,-8.12239,6.94067
HS,17,1739358546680,0.08805,-0.55905,12.003,-0.29937,10.07618,6.16861
HS,18,1739358546700,1.05705,0.915,9.08205,-2.82038,-1.33929,5.89287
HS,19,1739358546711,-0.70395,-0.75105,11.63895,-10.87187,-2.73372,7.01157
HS,20,1739358546733,-1.245,-2.21595,7.41495,-0.51208,-11.13973,8.96536
HS,21,1739358546749,0.255,0.249,12.91005,-6.17649,-5.53835,6.58615
HS,22,1739358546763,-0.00495,-3.49395,6.31095,-4.2227,-0.42542,9.24897
HS,23,1739358546782,-0.00495,-3.49395,6.31095,5.79045,-6.37344,7.64182
HS,24,1739358546796,0.48,1.61895,11.09505,-6.24739,-2.52889,9.10716
HS,25,1739358546808,-1.17795,-1.46595,7.81995,-0.02363,-5.88499,8.40601
HS,26,1739358546815,-1.17795,-1.46595,7.81995,-2.26103,3.00158,8.76052
HS,27,1739358546821,0.159,-0.219,9.465,-5.68804,1.53624,8.90233
HS,28,1739358546831,0.159,-0.219,9.465,-6.80674,-0.63813,9.66651
HS,29,1739358546843,-0.984,-0.70995,8.04195,-1.07143,1.81198,10.09194
HS,30,1739358546854,-0.984,-0.70995,8.04195,-1.70168,0.55147,9.66651
HS,31,1739358546865,0.195,-2.25405,10.85295,-4.35663,1.32353,9.59561
HS,32,1739358546876,-1.278,-2.37195,9.37395,5.86136,-0.85084,10.50948
HS,33,1739358546888,-1.278,-2.37195,9.37395,8.16966,-1.05567,10.22586
HS,34,1739358546897,1.09095,-1.15005,10.33905,1.93803,-6.72796,10.22586
HS,35,1739358546909,1.09095,-1.15005,10.33905,6.208,1.59927,12.18753
HS,36,1739358546920,-1.07505,-1.179,7.719,9.98952,-1.19748,12.88869
HS,37,1739358546932,-1.07505,-1.179,7.719,4.67175,-7.00369,12.04572
HS,38,1739358546945,0.31005,0.02205,10.851,-2.53677,3.3561,13.30623
HS,39,1739358546954,0.11205,-1.06395,8.32005,2.63919,-9.17807,13.03049
HS,40,1739358546965,0.11205,-1.06395,8.32005,4.24633,-2.73372,12.25843
HS,41,1739358546976,0.44205,1.00605,10.63305,-3.93909,-3.57669,13.30623
HS,42,1739358546987,0.44205,1.00605,10.63305,1.30778,-2.24528,13.73165
HS,43,1739358546998,-2.322,-3.09705,9.74505,3.9706,-3.30095,13.23533
HS,44,1739358547009,-2.322,-3.09705,9.74505,-0.15756,-5.32564,12.47114
HS,45,1739358547020,-0.83805,-1.55295,11.50905,2.49738,-6.0268,13.86558
HS,46,1739358547031,-0.864,-1.48305,8.715,10.33616,-4.13604,14.07829
HS,47,1739358547042,-0.864,-1.48305,8.715,10.27313,-5.32564,12.95959
HS,48,1739358547053,0.528,2.943,12.33495,3.34034,-2.80463,13.66075
HS,49,1739358547064,0.528,2.943,12.33495,-2.19013,-0.49632,14.00739
HS,50,1739358547075,-1.07505,-0.432,8.517,2.00893,-1.89864,12.95959
HS,51,1739358547086,-1.07505,-0.432,8.517,-3.72637,-4.27785,11.41547
HS,52,1739358547098,1.014,1.98495,10.90395,-11.91967,0.83509,12.18753
HS,53,1739358547109,-0.105,-4.701,7.65,-9.12292,1.88288,13.58984
HS,54,1739358547120,-0.105,-4.701,7.65,7.12187,-9.39078,12.18753
HS,55,1739358547131,0.10005,-2.61105,13.13295,0.47269,-1.4811,12.25843
