ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,8114,1739356467202,-0.11994,-1.02144,9.28385,2.60918,0.1831,5.26413
Abj,8115,1739356467221,-0.15105,-0.61196,9.42054,0.35094,5.00474,4.89793
Abj,8116,1739356467236,-0.15105,-0.61196,9.42054,1.57161,-0.12207,5.01999
Abj,8117,1739356467248,-0.18215,-1.75932,10.11027,3.46364,0.67137,5.38619
Abj,8118,1739356467266,0.02154,-2.49242,9.28146,5.23361,2.50237,5.38619
Abj,8119,1739356467285,-0.02154,-1.22752,10.53919,2.48711,2.1972,5.01999
Abj,8120,1739356467302,-0.55573,-1.61575,10.50808,1.20541,-0.48827,5.20309
Abj,8121,1739356467328,-0.1008,-1.65643,10.19671,1.81574,6.10334,5.01999
Abj,8122,1739356467340,-0.14865,-1.09352,10.04327,0.77818,5.55404,4.28759
Abj,8123,1739356467350,-0.14865,-1.09352,10.04327,-1.17489,8.17847,4.71483
Abj,8124,1739356467367,-0.07926,-1.1988,10.91516,-1.23593,7.26297,4.16553
Abj,8125,1739356467384,-0.31376,-1.9343,10.28046,-1.72419,10.00947,4.34863
Abj,8126,1739356467401,-0.46241,-2.30548,10.27089,-0.32043,5.493,4.10449
Abj,8127,1739356467422,-0.31854,-2.69851,10.28525,2.85331,5.92024,3.31106
Abj,8128,1739356467433,-0.31854,-2.69851,10.28525,3.21951,4.63854,3.55519
Abj,8129,1739356467448,-0.43609,-1.58225,9.44447,0.71714,0.7324,3.12796
Abj,8130,1739356467467,-0.07687,-0.12802,9.81805,-3.79933,-0.06103,3.18899
Abj,8131,1739356467484,-0.1654,-0.75075,9.48754,-3.00589,3.23477,2.94486
Abj,8132,1739356467502,-0.23001,-2.46371,9.05384,-3.92139,7.20194,2.63969
Abj,8133,1739356467520,-0.23001,-2.46371,9.05384,-0.32043,1.52583,2.57866
Abj,8134,1739356467541,-0.42413,-2.81097,10.302,4.07398,-0.1831,2.39556
Abj,8135,1739356467551,-0.42413,-2.81097,10.302,6.81285,-4.15027,2.27349
Abj,8136,1739356467569,-0.28983,-1.80479,9.65773,5.96601,-0.42723,2.21246
Abj,8137,1739356467585,0.01675,-0.42263,9.87548,3.64674,-0.61033,1.72419
Abj,8138,1739356467601,-0.21805,-1.34028,9.28864,2.05988,-2.5634,1.78523
Abj,8139,1739356467624,0.01675,-1.19402,9.57847,2.18194,6.46954,1.29696
Abj,8140,1739356467642,-0.17976,-1.09352,10.86491,0.35094,2.13617,1.48006
Abj,8141,1739356467650,-0.17976,-1.09352,10.86491,1.32748,4.27234,1.96833
Abj,8142,1739356467666,-0.40259,-2.87318,9.44926,5.96601,8.72777,1.54109
Abj,8143,1739356467685,-0.14148,-2.11167,9.2001,7.66732,3.4789,1.78523
Abj,8144,1739356467702,-0.05982,-0.87069,10.02653,4.80638,4.69957,1.48006
Abj,8145,1739356467719,-0.34277,-1.63011,9.67448,5.35568,-3.78407,1.66316
Abj,8146,1739356467735,-0.34277,-1.63011,9.67448,3.03641,5.6761,1.48006
Abj,8147,1739356467751,-0.05982,-1.40967,10.65404,2.60918,-3.1127,0.74766
Abj,8148,1739356467767,-0.33799,-1.62532,10.78834,4.50121,1.03757,1.05283
Abj,8149,1739356467785,-0.43609,-2.0348,10.12224,4.62328,5.1268,-0.16784
Abj,8150,1739356467800,-0.06461,-1.24905,11.12842,3.58571,2.31927,-0.47301
Abj,8151,1739356467816,-0.18933,-1.12702,10.22304,1.63264,4.27234,-0.28991
Abj,8152,1739356467834,-0.18933,-1.12702,10.22304,0.16784,5.3099,-0.65611
Abj,8153,1739356467849,0.06939,-1.33789,9.68166,-0.38146,8.66674,-0.35094
Abj,8154,1739356467867,-0.07687,-1.56042,9.98824,0.16784,6.5916,-0.83921
Abj,8155,1739356467885,-0.35234,-2.31984,10.0361,1.51058,3.41787,-0.83921
Abj,8156,1739356467906,0.01914,-1.83111,9.95474,1.81574,3.1127,-0.96128
Abj,8157,1739356467918,-0.24197,-1.63729,9.29582,1.51058,1.15963,-1.38851
Abj,8158,1739356467937,-0.24197,-1.63729,9.29582,-0.44249,-0.1831,-1.63264
Abj,8159,1739356467951,-0.15583,-1.33549,9.98824,-1.17489,-4.45543,-1.51058
Abj,8160,1739356467969,-0.22522,-1.92951,9.75823,0.16784,0.67137,-1.51058
Abj,8161,1739356467991,0.02393,-1.61097,9.89462,0.28991,-1.22067,-1.69368
Abj,8162,1739356468007,-0.32333,-1.7665,10.10788,0.10681,1.34273,-1.57161
Abj,8163,1739356468017,-0.32333,-1.7665,10.10788,-0.50353,0.61033,-2.12091
Abj,8164,1739356468035,-0.18694,-1.45035,10.07917,-0.62559,1.58687,-1.99884
Abj,8165,1739356468052,-0.10798,-1.69472,9.80609,1.44954,2.3803,-1.93781
Abj,8166,1739356468070,-0.00479,-1.82393,9.27667,0.96128,4.3944,-1.93781
Abj,8167,1739356468093,-0.15344,-1.45514,9.60958,-0.50353,1.831,-2.18194
Abj,8168,1739356468102,-0.11276,-1.30917,9.87787,-2.39556,0.7324,-2.54814
Abj,8169,1739356468119,-0.10798,-1.91755,9.47797,-0.80869,-0.48827,-2.05988
Abj,8170,1739356468136,-0.10798,-1.91755,9.47797,-0.32043,2.31927,-1.99884
Abj,8171,1739356468151,-0.19651,-2.17866,9.41097,0.16784,-4.15027,-2.30401
Abj,8172,1739356468172,-0.08166,-1.51496,10.07438,1.20541,-2.44133,-2.05988
Abj,8173,1739356468186,-0.21326,-1.89841,9.67687,1.02231,-2.68547,-1.69368
Abj,8174,1739356468202,0.01914,-0.8683,10.19193,-1.05283,-0.7324,-1.69368
Abj,8175,1739356468220,-0.1343,-1.733,10.1342,-1.54109,-0.42723,-1.93781
Abj,8176,1739356468238,-0.1343,-1.733,10.1342,0.35094,2.80753,-1.87678
Abj,8177,1739356468252,-0.1678,-2.1018,9.82044,1.26644,0.9155,-1.51058
Abj,8178,1739356468272,-0.24197,-1.97976,10.1031,1.02231,3.17373,-2.54814
Abj,8179,1739356468285,-0.19412,-1.51735,10.37618,0.90024,-2.7465,-2.18194
Abj,8180,1739356468303,-0.17498,-1.77129,9.89701,0.65611,0.85447,-2.30401
Abj,8181,1739356468320,-0.05264,-1.73539,9.62393,1.08334,2.62443,-2.48711
Abj,8182,1739356468338,-0.05264,-1.73539,9.62393,0.59508,0.1831,-2.18194
Abj,8183,1739356468360,-0.07208,-1.69232,9.7343,0.10681,-1.52583,-1.81574
Abj,8184,1739356468374,-0.2348,-1.38335,9.69841,-2.27349,-2.31927,-1.63264
Abj,8185,1739356468386,0.02154,-1.26341,9.55454,-1.48006,-0.61033,-1.38851
Abj,8186,1739356468402,-0.27069,-2.07308,9.05384,-0.01526,0.42723,-1.38851
Abj,8187,1739356468422,-0.25394,-2.36291,9.64307,1.14438,-6.0423,-1.81574
Abj,8188,1739356468438,-0.25394,-2.36291,9.64307,2.24298,-4.7606,-1.51058
Abj,8189,1739356468463,0.09093,-0.72203,10.03131,0.59508,-6.71367,-1.75471
Abj,8190,1739356468472,0.09093,-0.72203,10.03131,-2.09039,-5.73714,-1.87678
Abj,8191,1739356468487,-0.20608,-1.15813,10.11506,-1.29696,-3.8451,-1.75471
Abj,8192,1739356468506,-0.2013,-1.93908,10.07438,-0.19836,-1.6479,-1.81574
Abj,8193,1739356468520,-0.2013,-1.93908,10.07438,-0.19836,0.12207,-1.87678
Abj,8194,1739356468542,-0.21087,-2.28873,10.34986,0.83921,1.0986,-1.93781
Abj,8195,1739356468559,-0.12473,-1.79761,10.38336,1.02231,-4.15027,-2.18194
Abj,8196,1739356468569,-0.02393,-1.48146,10.09831,0.53404,-0.30517,-1.38851
Abj,8197,1739356468586,0.00479,-1.57747,9.54497,0.53404,0.1831,-1.38851
Abj,8198,1739356468604,0.067,-1.56999,9.78216,0.77818,-2.0141,-1.20541
Abj,8199,1739356468621,0.067,-1.56999,9.78216,0.90024,-0.61033,-0.71714
Abj,8200,1739356468646,-0.14387,-1.94626,9.3341,0.83921,-5.79817,-0.71714
Abj,8201,1739356468658,-0.20847,-1.5676,10.26132,-0.01526,-0.7324,-1.32748
Abj,8202,1739356468669,-0.32572,-2.03001,9.59761,1.20541,-6.65264,-0.47301
Abj,8203,1739356468687,0.04068,-1.4671,9.46361,1.20541,-0.24413,-0.71714
Abj,8204,1739356468704,0.14357,-0.88744,9.62154,0.28991,-3.4789,-0.65611
Abj,8205,1739356468728,-0.07926,-1.44796,9.76541,-0.86973,-0.5493,-0.47301
Abj,8206,1739356468742,-0.07926,-1.44796,9.76541,-2.02936,-0.5493,-0.53404
Abj,8207,1739356468752,-0.17258,-1.54367,9.9667,-2.02936,-1.34273,-0.71714
Abj,8208,1739356468771,-0.09601,-1.39531,10.15335,-1.72419,-1.40377,-0.28991
Abj,8209,1739356468787,-0.21087,-2.02762,9.71037,-1.11386,2.99063,-0.65611
Abj,8210,1739356468803,-0.11755,-1.80718,9.95953,-1.48006,-1.95307,-0.47301
Abj,8211,1739356468822,-0.11755,-1.80718,9.95953,-0.68663,0.48827,-0.10681
Abj,8212,1739356468839,-0.10558,-1.7665,9.5665,-0.93076,-5.92024,0.13733
Abj,8213,1739356468866,-0.04307,-1.55085,9.90658,-0.13733,-4.88267,0.44249
Abj,8214,1739356468877,-0.25633,-1.98215,9.73191,-1.60213,-4.0282,0.32043
Abj,8215,1739356468886,-0.22762,-1.0672,10.00499,-3.55519,-3.05167,0.56456
Abj,8216,1739356468905,-0.1678,-1.87448,9.9691,-2.76176,-1.34273,0.44249
Abj,8217,1739356468923,-0.1678,-1.87448,9.9691,1.20541,-5.98127,0.86973
Abj,8218,1739356468939,-0.27547,-2.45653,9.09931,0.65611,-4.88267,0.56456
Abj,8219,1739356468958,0.11725,-1.06002,9.87548,-1.84626,-7.38504,1.29696
Abj,8220,1739356468979,-0.32812,-1.37378,9.85155,-0.50353,-0.30517,1.05283
Abj,8221,1739356468990,-0.29462,-1.81675,9.15703,0.35094,-4.9437,1.23593
Abj,8222,1739356469003,-0.11037,-1.01186,10.00978,-2.02936,-2.80753,1.48006
Abj,8223,1739356469021,-0.11037,-1.01186,10.00978,-1.41903,-1.40377,1.23593
Abj,8224,1739356469038,-0.2659,-1.8,9.86112,-0.19836,-2.86857,2.15143
Abj,8225,1739356469056,-0.36431,-2.61685,9.55454,2.12091,0.67137,1.54109
Abj,8226,1739356469072,-0.1678,-1.52931,9.68884,0.83921,-5.92024,1.54109
Abj,8227,1739356469089,-0.47916,-1.58225,10.19671,0.65611,-6.71367,1.72419
Abj,8228,1739356469110,-0.1319,-1.68515,10.02413,1.57161,-6.9578,2.51763
Abj,8229,1739356469121,-0.1319,-1.68515,10.02413,2.42608,-0.42723,2.21246
Abj,8230,1739356469137,-0.20369,-1.7665,9.35085,1.08334,-4.33337,2.27349
Abj,8231,1739356469155,-0.21087,-1.21795,10.41685,1.20541,-5.1268,2.27349
Abj,8232,1739356469172,-0.23001,-2.11406,9.9332,1.14438,-10.8029,1.48006
Abj,8233,1739356469191,-0.07687,-1.48863,9.53061,0.59508,1.15963,2.45659
Abj,8234,1739356469207,-0.06969,-0.73639,10.4698,-1.29696,-7.6902,2.21246
Abj,8235,1739356469230,-0.27787,-1.97737,9.53061,-0.80869,-1.22067,2.21246
Abj,8236,1739356469244,0.01436,-1.42881,9.54018,-1.05283,2.07513,1.84626
Abj,8237,1739356469254,0.01436,-1.42881,9.54018,-2.82279,-3.72303,1.90729
Abj,8238,1739356469272,-0.1678,-1.26341,10.5344,-2.45659,-2.3803,1.72419
Abj,8239,1739356469290,-0.25394,-2.45414,9.71037,-0.56456,-5.61507,2.33453
Abj,8240,1739356469307,-0.02154,-1.65643,9.80848,0.22888,-0.9155,2.02936
Abj,8241,1739356469324,-0.02154,-1.65643,9.80848,-1.90729,-3.4789,2.27349
Abj,8242,1739356469341,-0.08405,-1.63729,10.09592,-1.17489,-3.35683,3.25003
Abj,8243,1739356469370,-0.16301,-1.85773,9.92124,-0.80869,-2.07513,3.18899
Abj,8244,1739356469377,-0.07208,-1.42164,9.60958,-1.78523,-5.18784,4.16553
Abj,8245,1739356469388,-0.17258,-1.14377,9.60958,-1.72419,0.30517,4.04346
Abj,8246,1739356469405,-0.34995,-2.01565,9.77498,-1.66316,-5.18784,4.65379
Abj,8247,1739356469423,-0.34995,-2.01565,9.77498,-1.29696,2.50237,4.65379
Abj,8248,1739356469440,-0.20847,-2.10927,9.14507,-1.66316,-3.41787,4.65379
Abj,8249,1739356469458,0.05503,-1.14138,9.9691,-2.94486,-1.70893,5.26413
Abj,8250,1739356469486,-0.31854,-1.90319,9.44447,-0.99179,-1.70893,5.44723
