ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,601,1739352182513,-0.74595,-2.343,9.417,-6.46798,7.46063,-1.60715
HS,602,1739352182532,-0.447,-2.928,9.57705,-4.43541,5.71167,-2.02469
HS,603,1739352182547,1.08195,-1.59195,10.011,0.39391,7.46063,-3.49791
HS,604,1739352182564,0.21105,-2.82705,9.63195,-5.06566,3.54518,-3.3561
HS,605,1739352182581,1.00305,1.85295,9.56505,-2.12711,2.91492,-4.4039
HS,606,1739352182597,-0.28095,-2.53005,8.715,-1.49685,4.10453,-3.3561
HS,607,1739352182614,-0.28095,-2.53005,8.715,-1.70168,0.53572,-3.56881
HS,608,1739352182630,0.55095,-0.39705,9.79005,-2.68646,2.35557,-4.12816
HS,609,1739352182647,-0.102,-2.937,9.62295,-2.47375,0.2521,-5.24686
HS,610,1739352182663,-0.82995,-0.426,9.249,-1.21324,0.95326,-4.68751
HS,611,1739352182680,-0.183,-2.49195,10.54005,-7.23216,3.26156,-6.15285
HS,612,1739352182696,0.23505,-6.08595,9.69405,2.28467,-4.15967,-5.73531
HS,613,1739352182713,-0.04695,1.66605,11.20995,8.93384,-1.35505,-6.43646
HS,614,1739352182730,-0.04695,1.66605,11.20995,7.60243,4.87659,-5.53048
HS,615,1739352182747,0.78495,-1.13205,10.968,-16.68596,3.11976,-5.17596
HS,616,1739352182771,-0.054,-2.901,8.607,-3.24581,-2.12711,-4.5457
HS,617,1739352182788,0.58695,-2.76195,9.27795,11.8724,2.91492,-5.94802
HS,618,1739352182804,1.05405,-0.51705,10.16595,2.07196,4.93961,-5.03415
HS,619,1739352182821,0.45,-2.69805,8.28405,-0.30725,-5.34928,-2.72585
HS,620,1739352182839,0.429,-0.009,9.855,9.21746,-0.44906,-3.71062
HS,621,1739352182854,-0.16395,-1.00695,9.07695,1.23687,-0.51996,-4.12816
HS,622,1739352182871,-1.09305,-3.86895,3.19395,1.4417,-11.71484,-5.10505
HS,623,1739352182887,-1.09305,-3.86895,3.19395,17.12714,-5.62501,-1.88288
HS,624,1739352182904,2.667,6.47595,18.68505,-43.63718,13.90497,-4.96325
HS,625,1739352182920,-1.06905,-1.671,5.78505,-38.59515,-14.23585,-2.1665
HS,626,1739352182938,2.964,-2.62395,8.382,6.55464,18.45067,-18.68702
HS,627,1739352182952,0.16005,-2.02995,10.374,30.91394,-8.91809,-2.58404
HS,628,1739352182971,-0.03495,-1.299,8.50905,10.12345,-5.48321,-2.09559
HS,629,1739352182987,1.374,-2.238,10.398,-4.2227,-8.70538,-2.37921
HS,630,1739352183003,1.374,-2.238,10.398,-1.77259,-3.0331,-2.72585
HS,631,1739352183020,-0.48705,0.64395,11.06205,-3.73425,-1.84349,-2.45011
HS,632,1739352183036,-0.27405,-4.623,9.285,-5.2705,-10.10769,-1.32353
HS,633,1739352183053,1.65,-0.61005,11.241,11.38396,5.92438,-1.32353
HS,634,1739352183070,0.32595,-2.14005,9.309,1.16597,-6.67281,-0.48845
HS,635,1739352183087,-0.09195,-2.451,8.919,0.88235,-7.24004,0.55935
HS,636,1739352183104,0.25395,-1.446,10.55895,10.7537,0.81145,0.28361
HS,637,1739352183119,-0.29295,0.969,9.951,7.25579,0.53572,-0.63025
HS,638,1739352183137,-0.29295,0.969,9.951,-1.21324,-1.15021,0.21271
HS,639,1739352183153,0.59895,-1.647,8.69805,0.2521,3.61608,0.28361
HS,640,1739352183170,-0.495,-1.21305,9.07905,-5.4123,-0.65389,1.75683
HS,641,1739352183186,0.63705,-3.912,10.47705,-3.94696,2.84402,0.77206
