ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,2395,1739356138106,-0.29295,-1.30695,10.02705,0.81933,5.79833,-2.9228
HS,2396,1739356138121,-0.969,-1.941,9.07395,2.35557,3.69486,-2.85978
HS,2397,1739356138140,-0.15705,-0.16695,9.888,2.35557,4.53783,-2.9937
HS,2398,1739356138155,-1.12695,-2.607,10.56795,0.323,6.00317,-3.69486
HS,2399,1739356138172,-1.704,-0.71805,8.80905,0.67752,0.82721,-4.18331
HS,2400,1739356138189,-1.704,-0.71805,8.80905,0.60662,0.7563,-4.25421
HS,2401,1739356138205,-0.76995,-2.64495,10.27395,0.74843,3.41913,-4.88447
HS,2402,1739356138220,-1.122,-1.19205,10.59495,-0.9375,2.57616,-4.95537
HS,2403,1739356138243,-0.56205,-2.58,9.795,2.14286,2.30043,-4.60873
HS,2404,1739356138260,0.153,-1.956,10.06095,1.79622,2.71797,-5.51472
HS,2405,1739356138277,0.26295,-1.56795,10.161,0.60662,2.30043,-5.72743
HS,2406,1739356138294,0.68505,-1.00695,9.153,-0.16544,-3.51366,-5.86924
HS,2407,1739356138309,-1.65795,-2.29095,10.224,-0.02363,0.40966,-5.79833
HS,2408,1739356138328,1.137,-1.194,8.19795,2.14286,-4.63236,-6.00317
HS,2409,1739356138341,1.137,-1.194,8.19795,1.86713,-2.32406,-5.65653
HS,2410,1739356138358,-0.68595,-1.02705,10.61595,-1.28414,3.13551,-6.42859
HS,2411,1739356138376,-1.878,-2.049,10.341,-0.23635,-0.29149,-5.51472
HS,2412,1739356138389,-0.34395,-2.28405,8.59995,0.46481,1.03992,-6.35768
HS,2413,1739356138407,1.623,-1.35,10.59705,-1.28414,0.6854,-6.98794
HS,2414,1739356138426,0.417,-1.84095,9.16995,-0.16544,-2.81251,-6.49161
HS,2415,1739356138442,-0.76995,-0.50505,10.39605,-0.09454,2.37133,-6.35768
HS,2416,1739356138458,0.24405,-0.19605,9.153,2.14286,0.12605,-6.98794
HS,2417,1739356138476,0.24405,-0.19605,9.153,-0.7957,1.11082,-6.42859
HS,2418,1739356138494,0.19905,0.80895,10.626,-2.26103,-0.3624,-7.82302
HS,2419,1739356138510,-2.082,-2.54205,9.618,-2.47375,-3.37186,-7.19277
HS,2420,1739356138523,0.76395,-1.31595,9.83805,-0.51208,-1.76471,-6.98794
HS,2421,1739356138542,-0.609,-3.44505,9.711,0.2521,-2.88341,-6.70432
HS,2422,1739356138556,-0.70005,0.39705,11.02095,-0.44118,-1.33929,-6.70432
HS,2423,1739356138574,-0.09195,-4.48605,7.959,-1.00053,-0.07878,-6.70432
HS,2424,1739356138591,-0.09195,-4.48605,7.959,-1.14233,-5.33352,-6.63342
HS,2425,1739356138606,-0.246,-0.74205,10.51605,1.16597,-3.51366,-6.00317
HS,2426,1739356138623,-0.12105,-2.45595,8.586,2.84402,-2.88341,-5.93226
HS,2427,1739356138637,-0.47295,-0.90705,9.97005,2.07984,0.19695,-6.00317
HS,2428,1739356138656,0.30705,-2.12295,10.401,0.60662,3.62396,-5.72743
HS,2429,1739356138668,-0.207,-1.479,8.07405,1.02416,-0.5042,-6.00317
HS,2430,1739356138687,-0.207,-1.479,8.07405,0.88235,-4.41965,-5.65653
HS,2431,1739356138707,-1.22205,-2.05395,11.54295,1.44958,-2.88341,-5.37291
HS,2432,1739356138722,-1.22205,-2.05395,11.54295,3.47427,-0.99265,-3.90757
HS,2433,1739356138738,1.03905,-0.95505,8.346,4.38814,-6.86976,-4.88447
HS,2434,1739356138755,0.378,0.20295,9.915,2.63919,-5.33352,-4.46692
HS,2435,1739356138772,-2.841,-1.845,10.87005,1.65442,-4.00211,-3.13551
HS,2436,1739356138788,-0.22905,-2.18505,8.92395,1.65442,-1.96954,-3.90757
HS,2437,1739356138804,-0.10695,-0.72,10.09695,2.14286,-6.31041,-2.9937
HS,2438,1739356138821,0.606,-2.205,9.558,3.96272,-3.09612,-2.71797
HS,2439,1739356138838,0.606,-2.205,9.558,3.19854,-1.13446,-2.57616
HS,2440,1739356138855,-1.03605,0.06405,9.69195,-1.21324,-2.81251,-2.71797
HS,2441,1739356138871,-0.72405,-1.39005,9.95505,-2.61555,-1.4811,-2.50526
HS,2442,1739356138889,-0.87495,-3.05895,8.64795,-2.82038,-6.79886,-2.15862
HS,2443,1739356138905,0.26805,-2.928,9.77295,2.14286,-3.37186,-2.57616
HS,2444,1739356138922,-0.78195,-1.977,10.06305,2.14286,-2.11135,-2.15862
HS,2445,1739356138939,1.14,-0.411,10.25505,2.00893,0.6854,-1.7332
HS,2446,1739356138956,0.25905,-2.46105,9.30705,-0.58298,-1.06355,-2.29255
HS,2447,1739356138969,0.25905,-2.46105,9.30705,-1.84349,2.71797,-2.64706
HS,2448,1739356138987,-1.30605,-0.60495,9.43095,-3.87606,-1.76471,-2.64706
HS,2449,1739356139005,0.46905,-2.145,9.87405,-2.19013,-2.7416,-2.43435
HS,2450,1739356139019,0.582,-1.695,9.52395,-2.12711,-1.6229,-3.20641
HS,2451,1739356139038,0.02205,-2.77695,10.662,-1.21324,-0.4333,-2.57616
HS,2452,1739356139055,0.10995,-1.02705,9.414,-0.8666,-4.49056,-1.875
HS,2453,1739356139068,0.10995,-1.02705,9.414,-1.28414,-1.90652,-2.9228
HS,2454,1739356139087,-1.5,-0.909,9.51705,-4.00999,-4.41965,-2.85978
HS,2455,1739356139105,-1.941,-1.76595,10.63095,-3.87606,-7.71273,-2.9228
HS,2456,1739356139121,-1.81605,-6.01395,7.56105,1.37868,-14.50371,-1.38656
HS,2457,1739356139137,-0.174,-1.41405,10.98,-0.44118,0.40966,-1.66229
HS,2458,1739356139154,0.51,-2.24505,8.94495,-2.0562,-2.18225,-0.6145
HS,2459,1739356139171,-0.123,-2.00805,9.85995,-1.84349,0.19695,-0.33876
HS,2460,1739356139188,-1.54095,-1.92705,9.11505,-1.63078,0.33876,-0.40966
HS,2461,1739356139204,0.39495,-2.20905,9.0,-1.56776,0.40966,-0.19695
HS,2462,1739356139220,0.39495,-2.20905,9.0,-1.56776,-4.21482,-0.7563
HS,2463,1739356139237,-1.965,-2.07495,9.35205,0.04727,-2.5998,-0.47269
HS,2464,1739356139253,0.73305,-1.38795,9.20595,-0.37027,-0.99265,-0.6854
HS,2465,1739356139270,-0.49695,-2.20695,9.45,1.23687,-0.57511,-0.6854
HS,2466,1739356139287,-0.882,-1.75905,9.53895,0.39391,-1.69381,-0.33876
HS,2467,1739356139303,0.37605,-1.02705,10.04205,-0.37027,3.90757,-1.45746
HS,2468,1739356139320,-1.35195,-2.145,9.98205,0.39391,-1.4811,-1.7332
HS,2469,1739356139335,-1.35195,-2.145,9.98205,0.323,-0.4333,-1.17385
HS,2470,1739356139351,0.50295,-2.511,9.30405,2.70221,-8.97324,-1.66229
HS,2471,1739356139366,-0.97095,-0.22695,9.903,0.67752,-3.44276,-1.45746
HS,2472,1739356139379,-0.82695,-2.904,10.41495,-0.8666,-0.5042,-1.17385
HS,2473,1739356139397,0.67305,-0.375,9.30195,-1.9144,-2.46587,-0.82721
HS,2474,1739356139416,-1.335,-1.83105,9.36405,-1.84349,-4.21482,-0.82721
HS,2475,1739356139434,0.56295,-1.40505,10.05795,-1.9144,-4.49056,-0.82721
HS,2476,1739356139453,-0.91605,-1.88805,8.77305,0.88235,-4.84507,-0.26786
HS,2477,1739356139469,-0.91605,-1.88805,8.77305,1.09507,-6.03468,-0.19695
HS,2478,1739356139486,0.129,-0.03105,10.57095,-0.30725,-0.71691,0.3624
HS,2479,1739356139502,0.49095,-0.66,9.21105,-1.21324,-1.552,0.29149
HS,2480,1739356139516,-0.159,-1.113,8.67195,-1.9853,-3.72637,0.01576
HS,2481,1739356139531,1.25505,-2.50395,9.95805,-1.07143,-4.77417,0.3624
HS,2482,1739356139548,1.25505,-2.50395,9.95805,-0.02363,0.19695,0.92175
HS,2483,1739356139562,0.24405,-1.23195,9.603,0.81933,-1.06355,1.4811
HS,2484,1739356139584,0.924,-1.08195,9.94305,-0.02363,-2.7416,1.552
HS,2485,1739356139600,-0.69795,-0.60795,10.14495,-0.58298,-1.6229,1.6229
HS,2486,1739356139617,-0.28905,-2.68305,10.008,-0.30725,-1.27626,1.76471
HS,2487,1739356139635,-0.009,-1.671,9.71805,-1.00053,-1.41019,2.39496
HS,2488,1739356139652,-1.48605,-1.965,9.64905,-1.00053,-3.7894,2.32406
HS,2489,1739356139668,0.41895,-1.02195,9.16305,0.04727,-3.09612,1.97742
HS,2490,1739356139684,-1.93605,-2.44905,10.39605,-2.33194,-4.91598,2.18225
HS,2491,1739356139700,-1.93605,-2.44905,10.39605,-1.28414,-3.02522,2.32406
HS,2492,1739356139717,0.20805,-1.527,9.192,-2.33194,-3.8603,1.83561
HS,2493,1739356139734,0.16995,-1.16505,10.413,-1.63078,-2.88341,2.04045
HS,2494,1739356139751,-1.287,-2.63505,8.55495,-1.70168,-0.99265,2.25316
HS,2495,1739356139768,0.41205,-2.655,10.14705,0.53572,-0.01576,2.18225
HS,2496,1739356139783,-2.06805,-1.62,9.747,2.07984,0.05515,2.39496
HS,2497,1739356139802,1.46505,-2.67105,9.594,1.30778,-0.64601,2.11135
HS,2498,1739356139818,-1.89,0.11205,10.84605,-0.16544,0.12605,2.18225
HS,2499,1739356139833,-1.89,0.11205,10.84605,0.2521,-0.01576,2.6707
HS,2500,1739356139847,0.58395,-2.23605,9.74205,-0.30725,2.64706,2.46587
