ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1,1739354583287,-0.42203,-0.31316,10.3002,5.16113,-8.04496,-5.26031
Ak,2,1739354583295,0.22403,-0.39212,11.88904,5.16113,-8.04496,-5.26031
Ak,3,1739354583313,-1.11595,-1.28465,7.72553,-9.49069,-6.51913,-9.86452
Ak,4,1739354583328,-1.11595,-1.28465,7.72553,-17.11986,-3.97098,-10.77239
Ak,5,1739354583345,-2.9991,-0.10499,10.81945,-18.12691,-4.46306,-11.48953
Ak,6,1739354583362,-0.93888,0.23719,9.12772,-12.13419,-3.24621,-7.89238
Ak,7,1739354583378,0.35563,-2.28963,8.27109,-8.57137,-0.46538,-4.72627
Ak,8,1739354583394,-0.6015,-1.96182,11.37697,-7.41937,0.43868,-3.69633
Ak,9,1739354583411,-1.75484,-1.92353,9.55125,-7.38885,3.92139,-0.78962
Ak,10,1739354583428,-1.75484,-1.92353,9.55125,-10.76476,6.10334,-0.68281
Ak,11,1739354583445,-1.01067,1.36899,9.85753,-11.04322,7.59865,0.17547
Ak,12,1739354583461,0.3006,-1.08126,8.64198,-8.43405,9.55935,2.50237
Ak,13,1739354583478,-2.09462,-0.15763,8.38595,-7.59484,5.77528,-0.95746
Ak,14,1739354583494,1.00648,-0.08584,9.96282,-7.11039,5.81724,-1.3084
Ak,15,1739354583511,-1.1662,-1.8326,9.42204,-4.29522,4.50121,-2.09039
Ak,16,1739354583528,-1.1662,-1.8326,9.42204,7.10657,3.41405,2.43371
Ak,17,1739354583544,0.31735,-1.68425,11.2023,8.73921,3.16611,3.49797
Ak,18,1739354583561,0.79352,-3.29701,9.903,7.58339,1.70893,2.44133
Ak,19,1739354583577,0.61884,0.92393,10.19492,-6.1453,-1.86152,-4.02057
Ak,20,1739354583594,0.08524,0.18215,10.8027,-5.15732,-1.9874,-1.82719
Ak,21,1739354583611,-0.70678,-0.85633,8.95065,-4.34863,-2.78083,0.53404
Ak,22,1739354583628,-0.70678,-0.85633,8.95065,-2.80753,-2.81135,1.73182
Ak,23,1739354583644,-0.73549,0.61047,8.70898,-4.08161,-2.51763,1.31603
Ak,24,1739354583661,0.38195,-3.46451,10.76441,-2.11709,-2.13617,2.15524
Ak,25,1739354583677,-0.18275,-2.45713,10.03939,-0.14877,-2.13235,2.30019
Ak,26,1739354583694,-1.54905,0.12233,11.72393,2.57866,-1.90729,3.42168
Ak,27,1739354583711,0.15942,0.73729,9.57996,5.88209,-1.6212,4.68431
Ak,28,1739354583728,0.15942,0.73729,9.57996,9.58987,-1.07953,7.13327
Ak,29,1739354583744,-0.55125,0.17258,9.80728,10.16205,-1.11004,7.7932
Ak,30,1739354583761,0.20249,-2.22981,10.29542,9.39151,-0.59508,8.61715
Ak,31,1739354583778,-1.01067,-3.0338,7.48624,4.75679,-0.90787,5.89735
Ak,32,1739354583792,1.13809,-1.6986,12.02543,3.55138,0.15258,5.68373
Ak,33,1739354583811,-0.01765,1.40489,10.86491,-3.82984,-0.1564,0.98035
Ak,34,1739354583828,-0.01765,1.40489,10.86491,-7.52236,-1.37707,-2.60536
Ak,35,1739354583844,-0.14925,0.14148,7.17757,-4.84452,-2.36504,-2.79609
Ak,36,1739354583861,-2.42243,1.84038,9.76421,-2.61681,-3.87943,-4.0549
Ak,37,1739354583877,-1.69741,-3.86411,9.30479,1.29314,-3.92521,-2.57866
Ak,38,1739354583894,0.16421,-2.87109,8.69701,3.21951,-2.69691,-0.72477
Ak,39,1739354583911,-0.15643,-0.10977,12.52074,-2.40319,-1.17108,-1.82719
