ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,8249,1739356235766,-0.74805,-1.908,9.12195,0.60662,-2.81251,-5.58562
HS,8250,1739356235785,-0.80805,-0.789,11.964,0.39391,-10.79309,-5.79045
HS,8251,1739356235804,-0.68895,-1.66305,7.61595,1.02416,-10.16284,-4.0415
HS,8252,1739356235822,0.393,-0.42105,11.28405,3.54518,-12.40024,-3.41125
HS,8253,1739356235839,-1.28895,-0.47295,9.615,-0.23635,-11.48637,-2.36345
HS,8254,1739356235855,-1.28895,-0.47295,9.615,-3.24581,-10.50948,-2.01681
HS,8255,1739356235873,-0.21195,-1.359,8.943,-1.49685,-12.88869,-1.8041
HS,8256,1739356235889,0.012,-1.82595,10.056,-0.58298,-10.864,-0.82721
HS,8257,1739356235902,0.51705,-1.146,9.105,2.21377,-12.40024,-0.54359
HS,8258,1739356235919,0.579,-2.29995,9.89595,3.61608,-12.61295,0.5042
HS,8259,1739356235936,0.00195,-0.64305,9.81405,7.11399,-9.53259,1.552
HS,8260,1739356235953,0.00195,-0.64305,9.81405,7.67334,-9.67439,1.90652
HS,8261,1739356235972,0.201,0.18195,8.75595,3.96272,-7.22428,2.04832
HS,8262,1739356235990,-1.203,-0.54495,10.935,1.93803,-11.84089,3.23793
HS,8263,1739356236008,1.152,-2.19,9.189,3.82879,-11.21064,4.07301
HS,8264,1739356236023,0.26805,0.49005,9.39495,2.42648,-13.44804,3.79728
HS,8265,1739356236040,0.03105,-1.21095,11.33895,-0.09454,-7.35821,4.49056
HS,8266,1739356236063,0.069,0.093,10.032,0.323,-7.29519,4.84507
HS,8267,1739356236078,-0.006,-2.30295,7.85595,1.51261,-9.60349,5.82197
HS,8268,1739356236092,-0.53295,0.093,10.92495,-1.77259,-1.89864,6.38132
HS,8269,1739356236111,-0.564,-1.75395,7.97805,-6.32617,-4.34875,7.01157
HS,8270,1739356236130,1.51995,-2.50395,10.08195,-2.33194,-6.73584,8.34298
HS,8271,1739356236147,-0.02295,0.32505,10.69305,0.18908,-4.21482,9.8162
HS,8272,1739356236165,-0.009,-0.01395,11.05005,-1.28414,-3.7894,9.8871
HS,8273,1739356236184,-0.009,-0.01395,11.05005,-2.40284,-4.07301,10.30465
HS,8274,1739356236201,-0.222,-1.086,9.75705,0.2521,-7.01157,11.35244
HS,8275,1739356236220,-0.57105,-2.84895,8.69805,0.11817,-4.07301,11.63606
HS,8276,1739356236237,-0.957,-2.13495,9.88605,-1.28414,-1.83561,11.91179
HS,8277,1739356236255,-2.47005,-1.527,10.43205,0.46481,-2.6707,12.33721
HS,8278,1739356236273,-2.616,-3.33,9.35205,0.46481,-3.44276,11.70696
HS,8279,1739356236289,-0.76005,-1.13895,10.48695,-1.28414,-1.20536,11.56515
HS,8280,1739356236301,-1.35705,-0.53295,10.06095,-1.9144,-0.99265,10.51736
HS,8281,1739356236315,-1.35705,-0.53295,10.06095,-3.24581,-2.6707,10.09194
HS,8282,1739356236330,-1.48095,-2.442,9.27105,-1.70168,-1.76471,9.95801
HS,8283,1739356236344,0.22305,-1.60095,10.518,-4.85295,2.78887,9.60349
HS,8284,1739356236363,-0.30105,-2.26395,8.80605,-4.85295,4.75054,9.39078
HS,8285,1739356236380,0.26295,-2.89905,10.33605,-3.80516,6.01104,8.41389
HS,8286,1739356236389,0.26295,-2.89905,10.33605,-0.23635,9.0205,8.48479
HS,8287,1739356236409,-0.16695,-1.44105,7.683,3.26944,-0.92175,7.43699
HS,8288,1739356236428,0.19605,0.909,11.193,-1.9144,6.84613,7.5788
HS,8289,1739356236447,-1.94805,-1.149,8.52795,-1.07143,-2.38709,7.5788
HS,8290,1739356236465,-1.158,-3.61005,9.795,-1.14233,1.74108,8.34298
HS,8291,1739356236481,-1.10505,-2.487,9.759,0.04727,4.82144,8.41389
HS,8292,1739356236494,-0.50895,-3.27195,9.9,3.19854,0.82721,8.48479
HS,8293,1739356236513,-0.636,0.67695,10.707,3.33247,5.79833,8.6266
HS,8294,1739356236531,-0.09,-1.17,9.77805,1.02416,3.34822,7.64182
HS,8295,1739356236542,-0.09,-1.17,9.77805,1.16597,-1.06355,7.08247
HS,8296,1739356236560,-0.02805,0.50205,10.30305,1.37868,1.88288,7.85453
HS,8297,1739356236577,-0.519,-0.55005,9.189,2.35557,-2.38709,8.27208
HS,8298,1739356236596,-1.05,-2.39805,10.26405,0.46481,1.88288,8.48479
HS,8299,1739356236613,-0.93,-1.83795,10.02,-1.14233,3.90757,8.27208
HS,8300,1739356236626,0.831,-1.86705,10.12305,-0.44118,2.78887,7.5788
HS,8301,1739356236646,0.41895,-1.85505,8.37495,0.60662,1.38656,7.99634
HS,8302,1739356236663,1.08195,0.02805,9.141,2.70221,1.59927,8.27208
HS,8303,1739356236675,1.08195,0.02805,9.141,2.84402,3.13551,7.92544
HS,8304,1739356236694,0.41205,-0.08805,9.52905,1.51261,6.01104,8.20905
HS,8305,1739356236708,-1.51005,-0.98595,10.74795,0.39391,15.74058,8.6975
HS,8306,1739356236729,-1.33995,-0.83295,8.12895,1.09507,8.46115,6.73584
HS,8307,1739356236745,0.08595,-1.27095,10.91295,0.04727,6.98794,7.43699
HS,8308,1739356236756,0.08595,-1.27095,10.91295,1.23687,7.27155,7.29519
HS,8309,1739356236772,-0.42795,-2.81295,9.141,2.14286,8.73689,7.43699
HS,8310,1739356236792,-0.59805,-0.888,9.57,0.95326,5.86924,7.5079
HS,8311,1739356236812,-0.729,-2.19,10.45605,0.39391,7.12974,7.08247
HS,8312,1739356236829,0.25095,-1.086,9.97905,2.70221,5.38079,6.59403
HS,8313,1739356236844,-0.57105,-2.39805,10.37895,4.73478,6.28678,6.59403
HS,8314,1739356236861,-0.042,0.65595,10.79595,7.25579,6.6413,6.24739
HS,8315,1739356236879,-0.98295,-0.71295,9.65595,5.36503,7.40548,6.10558
HS,8316,1739356236895,-0.954,0.27705,8.51595,3.12763,2.93068,5.47533
HS,8317,1739356236907,-0.954,0.27705,8.51595,-0.44118,1.38656,5.26262
HS,8318,1739356236926,-0.54195,-1.881,9.63,-3.73425,2.30043,3.30883
HS,8319,1739356236942,-0.636,-2.085,9.06195,-0.09454,0.82721,3.37186
HS,8320,1739356236960,-0.16395,-2.89605,10.09005,1.09507,7.40548,3.72637
HS,8321,1739356236977,0.12495,-1.797,10.377,-0.7957,6.49949,3.51366
HS,8322,1739356236991,-1.48095,-2.64705,10.26405,0.53572,11.61242,4.07301
HS,8323,1739356237010,-0.39405,0.936,11.06595,2.28467,7.12974,2.53677
HS,8324,1739356237027,-0.39405,0.936,11.06595,1.23687,9.43805,2.46587
HS,8325,1739356237045,-1.49805,-1.45305,9.414,-2.61555,7.9018,1.20536
HS,8326,1739356237056,-0.73605,-1.99095,10.281,-2.47375,5.58562,0.64601
HS,8327,1739356237077,-0.44895,-0.936,9.60795,-1.21324,2.22952,0.08666
HS,8328,1739356237087,-1.242,-1.86,11.481,0.67752,8.73689,0.4333
HS,8329,1739356237106,-0.08295,-1.776,8.847,1.93803,2.78887,0.15756
HS,8330,1739356237126,-0.717,0.06405,10.185,3.33247,1.81198,-0.33088
HS,8331,1739356237143,-1.09995,-1.88805,9.501,1.93803,5.09718,-0.47269
HS,8332,1739356237160,-1.09995,-1.88805,9.501,2.56828,2.08771,-0.96114
HS,8333,1739356237173,-1.78695,-1.125,9.762,3.40337,4.53783,-0.40179
HS,8334,1739356237192,-0.315,-0.65295,9.38295,1.93803,2.57616,-1.10294
HS,8335,1739356237209,-0.07095,-1.03905,9.98895,1.02416,6.14497,-1.52837
HS,8336,1739356237227,-0.35295,-1.90995,10.14495,2.21377,6.42859,-1.66229
HS,8337,1739356237242,-0.066,-3.23595,9.33105,5.71955,2.50526,-2.01681
HS,8338,1739356237255,-0.066,-3.23595,9.33105,6.90915,1.81198,-1.7332
HS,8339,1739356237277,-0.49905,1.23,10.48905,2.21377,2.22952,-2.08771
HS,8340,1739356237293,0.168,-0.126,9.10995,-4.08089,-1.4811,-3.34822
HS,8341,1739356237307,-0.38205,1.659,9.51495,-9.82408,-4.77417,-3.62396
HS,8342,1739356237324,0.438,-3.47805,8.835,-7.16126,-7.22428,-2.57616
HS,8343,1739356237340,-0.71505,-1.07895,8.952,-1.70168,-1.41019,-1.59139
HS,8344,1739356237359,-1.54095,-2.592,11.10705,-3.66335,5.16808,-1.10294
HS,8345,1739356237376,-0.969,-0.153,10.434,-4.71115,3.41913,-1.38656
HS,8346,1739356237394,0.49995,-2.00595,9.80895,-4.50631,0.89811,-1.31565
HS,8347,1739356237410,0.28305,-2.17095,8.86095,-3.24581,1.94591,-0.54359
HS,8348,1739356237419,0.28305,-2.17095,8.86095,-1.84349,-1.96954,-0.6854
HS,8349,1739356237436,-0.22395,-1.88595,10.968,-1.9853,3.63184,0.22847
HS,8350,1739356237457,-0.066,-0.70995,11.01105,-4.00999,4.75054,-0.26786
HS,8351,1739356237475,-0.05205,-2.68095,10.02705,-4.2936,1.94591,-0.26786
HS,8352,1739356237493,-1.158,-1.62705,9.44805,-1.07143,-0.00788,0.08666
HS,8353,1739356237506,-0.81105,-3.258,9.81705,0.18908,-0.22059,0.08666
HS,8354,1739356237525,-0.81105,-3.258,9.81705,2.28467,2.15862,0.3624
HS,8355,1739356237542,-0.06105,-0.33195,9.25605,1.16597,3.69486,1.06355
HS,8356,1739356237559,1.11105,-2.39805,10.116,-0.09454,6.6413,0.92175
HS,8357,1739356237572,0.522,-0.76095,9.498,-0.72479,7.9018,1.41807
HS,8358,1739356237588,-0.51105,-1.53405,7.803,-0.58298,-2.32406,0.99265
HS,8359,1739356237607,-0.873,0.177,8.74605,-2.33194,-2.39496,0.5042
HS,8360,1739356237623,-1.62195,-0.94305,9.237,-3.94696,1.81198,0.92175
HS,8361,1739356237640,-1.62195,-0.94305,9.237,-2.19013,0.82721,0.78782
HS,8362,1739356237657,-0.35805,-2.10195,8.56905,-0.23635,4.12028,0.99265
HS,8363,1739356237675,-1.37805,-1.96995,8.394,3.12763,0.82721,0.99265
HS,8364,1739356237687,0.129,-2.511,10.83405,4.66388,10.91126,0.15756
HS,8365,1739356237707,-0.222,-1.326,9.762,5.36503,8.10664,0.08666
HS,8366,1739356237727,-0.12795,-1.93395,10.65,4.66388,8.73689,0.64601
HS,8367,1739356237744,-0.25995,-0.9,10.482,3.05673,8.24844,-0.6145
HS,8368,1739356237752,-0.25995,-0.9,10.482,2.84402,5.72743,-0.54359
HS,8369,1739356237768,-0.88995,-1.92705,10.317,0.53572,3.13551,-0.82721
HS,8370,1739356237788,-0.28905,-0.76995,11.08095,-0.02363,2.30043,-1.59139
HS,8371,1739356237807,-0.708,-0.96705,10.152,1.86713,1.59927,-0.96114
HS,8372,1739356237826,-0.78405,-2.676,9.879,4.59297,-0.07878,-1.52837
HS,8373,1739356237844,-1.26795,-0.045,10.56405,4.52207,0.05515,-0.96114
HS,8374,1739356237854,-0.171,-2.22405,9.714,2.35557,-1.06355,-1.66229
HS,8375,1739356237874,-0.14505,-0.078,10.27095,-0.02363,-1.33929,-1.875
HS,8376,1739356237892,1.08705,-3.78195,9.64905,0.60662,1.25263,-2.15074
HS,8377,1739356237907,1.08705,-3.78195,9.64905,1.58351,2.15862,-2.78099
HS,8378,1739356237918,-2.36205,-1.77105,10.33395,2.42648,0.19695,-2.8519
HS,8379,1739356237938,-0.01095,-3.579,9.73305,6.41283,5.65653,-3.34822
HS,8380,1739356237955,-1.359,-0.44505,11.01105,7.67334,6.21588,-3.97848
HS,8381,1739356237973,-0.72705,1.221,9.77805,2.77312,5.16808,-3.62396
HS,8382,1739356237991,-0.009,1.26105,8.16,-2.68646,0.19695,-4.0415
HS,8383,1739356238009,-0.29295,0.948,9.13395,-9.82408,-4.63236,-4.25421
HS,8384,1739356238019,-0.29295,0.948,9.13395,-9.47744,-10.30465,-5.44382
HS,8385,1739356238038,-1.32495,-6.53595,10.152,2.84402,1.94591,-4.32512
HS,8386,1739356238060,-1.21995,-5.31195,10.212,9.28836,4.60873,-4.32512
HS,8387,1739356238072,0.10095,-0.579,12.17295,8.5872,10.91126,-5.02627
HS,8388,1739356238083,-0.48495,-0.05895,9.927,7.25579,6.08195,-3.55305
HS,8389,1739356238100,1.23795,-0.624,8.84895,7.04308,1.74108,-4.46692
HS,8390,1739356238117,1.23795,-0.624,8.84895,2.77312,0.89811,-3.27732
HS,8391,1739356238140,-0.885,2.928,10.54905,-1.35505,0.89811,-2.78099
HS,8392,1739356238159,0.105,-1.374,8.89995,-5.55411,-1.4811,-3.20641
HS,8393,1739356238177,-0.82695,-0.651,10.06095,-4.78205,-5.60926,-4.32512
HS,8394,1739356238191,-0.80295,-2.85795,9.972,0.25998,-1.76471,-3.83667
HS,8395,1739356238205,0.63705,-1.668,7.329,2.70221,-11.13973,-4.25421
HS,8396,1739356238222,-0.15,-1.33095,7.79805,9.07565,-4.34875,-3.48215
HS,8397,1739356238234,1.05795,1.10805,9.73005,7.3976,-1.20536,-3.97848
HS,8398,1739356238253,-1.062,1.75905,13.25505,-1.49685,5.65653,-3.34822
HS,8399,1739356238269,-1.062,1.75905,13.25505,-10.52523,14.96852,-3.69486
HS,8400,1739356238287,0.25605,-0.13095,9.297,-12.27419,2.57616,-3.48215
